,No,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
0,987ȸ,2,4,15,23,29,38,7
1,986ȸ,7,10,16,28,41,42,40
2,985ȸ,17,21,23,30,34,44,19
3,984ȸ,3,10,23,35,36,37,18
4,983ȸ,13,23,26,31,35,43,15
5,982ȸ,5,7,13,20,21,44,33
6,981ȸ,27,36,37,41,43,45,32
7,980ȸ,3,13,16,23,24,35,14
8,979ȸ,7,11,16,21,27,33,24
9,978ȸ,1,7,15,32,34,42,8
10,977ȸ,2,9,10,14,22,44,16
11,976ȸ,4,12,14,25,35,37,2
12,975ȸ,7,8,9,17,22,24,5
13,974ȸ,1,2,11,16,39,44,32
14,973ȸ,22,26,31,37,41,42,24
15,972ȸ,3,6,17,23,37,39,26
16,971ȸ,2,6,17,18,21,26,7
17,970ȸ,9,11,16,21,28,36,5
18,969ȸ,3,9,10,29,40,45,7
19,968ȸ,2,5,12,14,24,39,33
20,967ȸ,1,6,13,37,38,40,9
21,966ȸ,1,21,25,29,34,37,36
22,965ȸ,2,13,25,28,29,36,34
23,964ȸ,6,21,36,38,39,43,30
24,963ȸ,6,12,19,23,34,42,35
25,962ȸ,1,18,28,31,34,43,40
26,961ȸ,11,20,29,31,33,42,43
27,960ȸ,2,18,24,30,32,45,14
28,959ȸ,1,14,15,24,40,41,35
29,958ȸ,2,9,10,16,35,37,1
30,957ȸ,4,15,24,35,36,40,1
31,956ȸ,10,11,20,21,25,41,40
32,955ȸ,4,9,23,26,29,33,8
33,954ȸ,1,9,26,28,30,41,32
34,953ȸ,7,9,22,27,37,42,34
35,952ȸ,4,12,22,24,33,41,38
36,951ȸ,2,12,30,31,39,43,38
37,950ȸ,3,4,15,22,28,40,10
38,949ȸ,14,21,35,36,40,44,30
39,948ȸ,13,18,30,31,38,41,5
40,947ȸ,3,8,17,20,27,35,26
41,946ȸ,9,18,19,30,34,40,20
42,945ȸ,9,10,15,30,33,37,26
43,944ȸ,2,13,16,19,32,33,42
44,943ȸ,1,8,13,36,44,45,39
45,942ȸ,10,12,18,35,42,43,39
46,941ȸ,12,14,25,27,39,40,35
47,940ȸ,3,15,20,22,24,41,11
48,939ȸ,4,11,28,39,42,45,6
49,938ȸ,4,8,10,16,31,36,9
50,937ȸ,2,10,13,22,29,40,26
51,936ȸ,7,11,13,17,18,29,43
52,935ȸ,4,10,20,32,38,44,18
53,934ȸ,1,3,30,33,36,39,12
54,933ȸ,23,27,29,31,36,45,37
55,932ȸ,1,6,15,36,37,38,5
56,931ȸ,14,15,23,25,35,43,32
57,930ȸ,8,21,25,38,39,44,28
58,929ȸ,7,9,12,15,19,23,4
59,928ȸ,3,4,10,20,28,44,30
60,927ȸ,4,15,22,38,41,43,26
61,926ȸ,10,16,18,20,25,31,6
62,925ȸ,13,24,32,34,39,42,4
63,924ȸ,3,11,34,42,43,44,13
64,923ȸ,3,17,18,23,36,41,26
65,922ȸ,2,6,13,17,27,43,36
66,921ȸ,5,7,12,22,28,41,1
67,920ȸ,2,3,26,33,34,43,29
68,919ȸ,9,14,17,18,42,44,35
69,918ȸ,7,11,12,31,33,38,5
70,917ȸ,1,3,23,24,27,43,34
71,916ȸ,6,21,22,32,35,36,17
72,915ȸ,2,6,11,13,22,37,14
73,914ȸ,16,19,24,33,42,44,27
74,913ȸ,6,14,16,21,27,37,40
75,912ȸ,5,8,18,21,22,38,10
76,911ȸ,4,5,12,14,32,42,35
77,910ȸ,1,11,17,27,35,39,31
78,909ȸ,7,24,29,30,34,35,33
79,908ȸ,3,16,21,22,23,44,30
80,907ȸ,21,27,29,38,40,44,37
81,906ȸ,2,5,14,28,31,32,20
82,905ȸ,3,4,16,27,38,40,20
83,904ȸ,2,6,8,26,43,45,11
84,903ȸ,2,15,16,21,22,28,45
85,902ȸ,7,19,23,24,36,39,30
86,901ȸ,5,18,20,23,30,34,21
87,900ȸ,7,13,16,18,35,38,14
88,899ȸ,8,19,20,21,33,39,37
89,898ȸ,18,21,28,35,37,42,17
90,897ȸ,6,7,12,22,26,36,29
91,896ȸ,5,12,25,26,38,45,23
92,895ȸ,16,26,31,38,39,41,23
93,894ȸ,19,32,37,40,41,43,45
94,893ȸ,1,15,17,23,25,41,10
95,892ȸ,4,9,17,18,26,42,36
96,891ȸ,9,13,28,31,39,41,19
97,890ȸ,1,4,14,18,29,37,6
98,889ȸ,3,13,29,38,39,42,26
99,888ȸ,3,7,12,31,34,38,32
